LAD13CD,LAD13CDO,LAD13NM,NUTS315CD,NUTS315NM,NUTS215CD,NUTS215NM,NUT115CD,NUTS115NM,FID
E07000214,43UJ,Surrey Heath,UKJ25,West Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),232
E07000215,43UK,Tandridge,UKJ26,East Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),233
E07000216,43UL,Waverley,UKJ25,West Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),234
E07000217,43UM,Woking,UKJ25,West Surrey,UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),235
E07000218,44UB,North Warwickshire,UKG13,Warwickshire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),236
E07000219,44UC,Nuneaton and Bedworth,UKG13,Warwickshire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),237
E07000220,44UD,Rugby,UKG13,Warwickshire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),238
E07000221,44UE,Stratford-on-Avon,UKG13,Warwickshire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),239
E07000222,44UF,Warwick,UKG13,Warwickshire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),240
E07000223,45UB,Adur,UKJ27,West Sussex (South West),UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),241
E07000224,45UC,Arun,UKJ27,West Sussex (South West),UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),242
E07000225,45UD,Chichester,UKJ27,West Sussex (South West),UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),243
E07000226,45UE,Crawley,UKJ28,West Sussex (North East),UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),244
E07000227,45UF,Horsham,UKJ28,West Sussex (North East),UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),245
E07000228,45UG,Mid Sussex,UKJ28,West Sussex (North East),UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),246
E07000229,45UH,Worthing,UKJ27,West Sussex (South West),UKJ2,"Surrey, East and West Sussex",UKJ,South East (England),247
E07000234,47UB,Bromsgrove,UKG12,Worcestershire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),248
E07000235,47UC,Malvern Hills,UKG12,Worcestershire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),249
E07000236,47UD,Redditch,UKG12,Worcestershire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),250
E07000237,47UE,Worcester,UKG12,Worcestershire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),251
E07000238,47UF,Wychavon,UKG12,Worcestershire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),252
E07000239,47UG,Wyre Forest,UKG12,Worcestershire,UKG1,"Herefordshire, Worcestershire and Warwickshire",UKG,West Midlands (England),253
E07000240,26UG,St Albans,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,254
E07000241,26UL,Welwyn Hatfield,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,255
E07000242,26UD,East Hertfordshire,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,256
E07000243,26UH,Stevenage,UKH23,Hertfordshire,UKH2,Bedfordshire and Hertfordshire,UKH,East of England,257
E08000001,00BL,Bolton,UKD36,Greater Manchester North West,UKD3,Greater Manchester,UKD,North West (England),258
E08000002,00BM,Bury,UKD37,Greater Manchester North East,UKD3,Greater Manchester,UKD,North West (England),259
E08000003,00BN,Manchester,UKD33,Manchester,UKD3,Greater Manchester,UKD,North West (England),260
E08000004,00BP,Oldham,UKD37,Greater Manchester North East,UKD3,Greater Manchester,UKD,North West (England),261
E08000005,00BQ,Rochdale,UKD37,Greater Manchester North East,UKD3,Greater Manchester,UKD,North West (England),262
E08000006,00BR,Salford,UKD34,Greater Manchester South West,UKD3,Greater Manchester,UKD,North West (England),263
E08000007,00BS,Stockport,UKD35,Greater Manchester South East,UKD3,Greater Manchester,UKD,North West (England),264
E08000008,00BT,Tameside,UKD35,Greater Manchester South East,UKD3,Greater Manchester,UKD,North West (England),265
